Target,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,1.68E-03,4.12E-10,7.41E-08,1.79E-10,1.74E-07,1.92E-07,7.91E-08,1.60E-07,8.42E-08,1.24E-08,4.95E-08,4.95E-08,1.03E-06,2.87E-07,4.07E-08,2.15E-07,1.73E-08,1.47E-09,6.73E-08,2.98E-08,2.98E-08,4.42E-07,8.32E-10,1.73E-08,8.26E-09,8.10E-09,3.62E-07
Brain,4.12E-10,1.70E-05,9.46E-09,1.57E-07,3.06E-10,3.08E-10,9.00E-11,9.63E-10,1.70E-10,1.94E-11,1.47E-09,1.47E-09,2.22E-10,6.58E-10,3.31E-09,4.69E-10,1.86E-11,1.55E-07,2.29E-08,3.34E-08,3.34E-08,5.59E-10,1.27E-12,3.14E-09,1.39E-08,6.54E-12,3.49E-07
Esophagus,7.53E-08,9.45E-09,5.88E-04,7.98E-09,4.41E-08,3.47E-08,1.76E-08,2.11E-07,2.14E-08,8.17E-10,2.49E-07,2.68E-07,3.22E-08,9.98E-08,1.75E-07,1.07E-07,2.22E-09,4.40E-08,2.07E-08,2.10E-08,2.10E-08,6.81E-08,1.57E-10,1.61E-07,4.76E-07,1.02E-09,3.56E-07
Eyes,1.79E-10,1.69E-07,7.98E-09,1.57E-03,6.83E-10,3.41E-10,1.61E-10,9.40E-10,8.49E-11,1.19E-10,1.95E-09,1.95E-09,2.95E-10,8.29E-10,2.75E-09,5.75E-10,6.92E-11,7.44E-08,2.29E-08,3.34E-08,3.34E-08,4.14E-10,1.35E-11,3.96E-09,1.00E-08,1.19E-11,3.49E-07
Gallbladder Wall,1.77E-07,3.06E-10,4.41E-08,6.83E-10,2.09E-04,8.33E-08,7.29E-08,5.70E-08,4.03E-07,8.06E-09,5.65E-08,5.67E-08,9.27E-08,4.20E-07,3.31E-08,1.07E-07,1.31E-08,1.05E-09,3.09E-08,1.20E-08,1.20E-08,2.45E-08,6.67E-10,2.13E-08,7.05E-09,6.17E-09,3.64E-07
LLI Wall,1.92E-07,3.08E-10,3.47E-08,3.41E-10,8.33E-08,1.59E-04,2.63E-07,1.64E-07,5.96E-08,7.69E-08,4.02E-08,4.03E-08,1.24E-07,3.70E-08,2.59E-08,4.20E-07,4.61E-08,6.60E-10,5.50E-08,2.02E-08,2.02E-08,1.38E-07,2.19E-09,1.08E-08,4.13E-09,2.39E-08,3.63E-07
Small Intestine,7.92E-08,9.00E-11,1.76E-08,2.47E-10,7.29E-08,2.63E-07,3.45E-05,6.93E-08,1.97E-07,1.21E-07,2.21E-08,2.21E-08,7.10E-08,3.69E-08,1.09E-08,2.32E-07,9.27E-08,3.64E-10,5.04E-08,1.57E-08,1.57E-08,3.99E-08,6.56E-09,6.44E-09,2.24E-09,6.84E-08,3.64E-07
Stomach Wall,1.49E-07,9.23E-10,2.24E-07,9.40E-10,5.45E-08,1.64E-07,4.50E-08,4.88E-05,1.47E-08,5.36E-09,1.89E-07,1.91E-07,6.00E-08,8.11E-08,1.23E-07,6.71E-07,5.84E-09,2.71E-09,2.25E-08,1.09E-08,1.09E-08,2.51E-07,4.01E-10,4.30E-08,1.76E-08,2.60E-09,3.59E-07
ULI Wall,8.43E-08,1.70E-10,2.14E-08,8.49E-11,4.03E-07,5.96E-08,1.28E-07,1.47E-08,8.05E-05,2.42E-08,3.10E-08,3.10E-08,8.21E-08,9.96E-08,1.56E-08,1.20E-07,3.89E-08,4.72E-10,4.26E-08,1.38E-08,1.38E-08,2.43E-08,3.47E-09,9.04E-09,1.53E-09,2.75E-08,3.63E-07
Rectum,1.24E-08,1.94E-11,2.38E-09,1.19E-10,8.06E-09,7.69E-08,1.21E-07,5.36E-09,2.42E-08,1.60E-04,2.03E-09,2.03E-09,2.35E-08,5.20E-09,1.34E-09,1.10E-08,4.93E-07,3.24E-11,5.50E-08,2.02E-08,2.02E-08,8.46E-09,3.48E-08,4.94E-10,3.35E-10,2.57E-07,3.63E-07
Heart Wall,4.58E-08,1.71E-09,2.40E-07,1.95E-09,5.45E-08,4.02E-08,2.21E-08,1.99E-07,3.10E-08,2.03E-09,2.42E-05,7.27E-05,2.18E-08,1.08E-07,1.91E-07,1.36E-07,2.45E-09,5.43E-09,2.97E-08,1.57E-08,1.57E-08,3.95E-08,1.64E-10,4.65E-07,4.65E-08,1.05E-09,3.60E-07
Kidneys,9.83E-07,2.77E-10,2.98E-08,2.92E-10,8.94E-08,1.24E-07,7.09E-08,6.24E-08,8.20E-08,2.35E-08,2.20E-08,2.21E-08,7.76E-05,1.20E-07,2.02E-08,8.98E-08,3.28E-08,6.39E-10,4.71E-08,1.73E-08,1.73E-08,2.65E-07,1.85E-09,8.05E-09,3.80E-09,1.18E-08,3.58E-07
Liver,2.66E-07,7.89E-10,8.57E-08,8.29E-10,3.67E-07,3.63E-08,3.69E-08,8.35E-08,9.90E-08,5.20E-09,1.07E-07,1.08E-07,1.18E-07,1.37E-05,8.93E-08,1.14E-07,8.30E-09,2.16E-09,2.44E-08,1.33E-08,1.33E-08,3.12E-08,5.50E-10,3.84E-08,1.42E-08,3.78E-09,3.58E-07
