Organ,25g_mouse,30g_mouse,35g_mouse,Female,Male,rMSF_F_25,rMSF_M_25,rMSF_F_30,rMSF_M_30,rMSF_F_35,rMSF_M_35,,,,,,,,,,,,,,,,
Adrenals,0.0102,0.0102,0.0102,13,14,0.512140523,0.453317217,0.633006536,0.560300833,0.749199346,0.663147999,,,,,,,,,,,,,,,,
Brain,0.466,0.568,0.666,1300,1450,1.120994278,1.027676524,1.136737089,1.042108817,1.147422422,1.051904644,,,,,,,,,,,,,,,,
Gallbladder,0.011,0.011,0.011,8,10,0.292242424,0.300249066,0.361212121,0.371108344,0.427515152,0.439227895,,,,,,,,,,,,,,,,
Left Colon,0.234819444,0.285569444,0.334305556,145,150,0.24813036,0.210975271,0.252186178,0.214423769,0.254963855,0.216785517,,,,,,,,,,,,,,,,
Small Intestine,1.74,2.12,2.49,600,650,0.138563218,0.123378208,0.140566038,0.12516154,0.141646586,0.126123673,,,,,,,,,,,,,,,,
Stomach,0.055,0.069,0.082,140,150,1.022848485,0.900747198,1.007729469,0.887432996,1.003617886,0.883812229,,,,,,,,,,,,,,,,
Right Colon,0.234819444,0.285569444,0.334305556,145,150,0.24813036,0.210975271,0.252186178,0.214423769,0.254963855,0.216785517,,,,,,,,,,,,,,,,
Heart,0.235,0.291,0.342,250,330,0.42748227,0.463788983,0.426689576,0.462928965,0.429702729,0.466198029,,,,,,,,,,,,,,,,
Heart Contents,2.4,2.4,2.4,370,510,0.061949306,0.070183219,0.076569444,0.086746575,0.090624306,0.102669521,,,,,,,,,,,,,,,,
Kidneys,0.302,0.374,0.432,275,310,0.365907837,0.339022952,0.365196078,0.33836349,0.37419946,0.346705353,,,,,,,,,,,,,,,,
Liver,1.74,2.15,2.57,1400,1800,0.323314176,0.34166273,0.323410853,0.341764893,0.320220493,0.338393476,,,,,,,,,,,,,,,,
Lungs,0.087,0.107,0.131,950,1200,4.387835249,4.55550307,4.409657321,4.578159007,4.262913486,4.425807801,,,,,,,,,,,,,,,,
Ovaries,0.0165,0.0165,0.0165,11,0,0.267888889,0,0.331111111,0,0.391888889,0,,,,,,,,,,,,,,,,
Pancreas,0.305,0.378,0.45,120,140,0.158098361,0.151601168,0.157671958,0.151192288,0.156755556,0.150313546,,,,,,,,,,,,,,,,
Prostate,0.025,0.025,0.025,0,17,0,0.224586301,0,0.277589041,0,0.328542466,,,,,,,,,,,,,,,,
Rectum,0.113361111,0.137861111,0.161388889,70,70,0.24813036,0.203942762,0.252186178,0.20727631,0.254963855,0.209559333,,,,,,,,,,,,,,,,
Salivary Glands,0.1875,0.1875,0.1875,70,85,0.150017778,0.149724201,0.185422222,0.185059361,0.219457778,0.219028311,,,,,,,,,,,,,,,,
Red Marrow,0.608,0.608,0.608,900,1170,0.594819079,0.635560112,0.735197368,0.785553353,0.870148026,0.929747206,,,,,,,,,,,,,,,,
Bone Surfaces,2.18,2.61,3.01,120,120,0.022119266,0.018180219,0.022835249,0.018768698,0.023435216,0.019261821,,,,,,,,,,,,,,,,
Spleen,0.111,0.136,0.157,130,150,0.470615616,0.446316179,0.474754902,0.450241741,0.486740977,0.461608935,,,,,,,,,,,,,,,,
Testes,0.16,0.197,0.228,0,35,0,0.072247432,0,0.07252625,0,0.074167868,,,,,,,,,,,,,,,,
Thymus,0.051,0.051,0.051,20,25,0.157581699,0.161899006,0.194771242,0.20010744,0.230522876,0.236838571,,,,,,,,,,,,,,,,
Thyroid,0.014,0.016,0.02,17,20,0.487940476,0.471819961,0.527708333,0.510273973,0.499658333,0.483150685,,,,,,,,,,,,,,,,
Bladder,0.06,0.075,0.088,40,50,0.267888889,0.275228311,0.264888889,0.272146119,0.26719697,0.274517435,,,,,,,,,,,,,,,,
Uterus,0.172,0.172,0.172,80,0,0.186899225,0,0.231007752,0,0.273410853,0,,,,,,,,,,,,,,,,
Body,24.11,29.8,35.27,60000,73000,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Fat,6.5,7.8,9.1,16989,15169.4,1.050268692,0.770778154,1.081778205,0.793902564,1.097439615,0.805396264,,,,,,,,,,,,,,,,
Seminals,0.17304533,0.17304533,0.17304533,0,6.4,0,0.012215027,0,0.015097794,0,0.0178691,,,,,,,,,,,,,,,,
Muscle,3.90675467,6.53475467,9.00875467,17500,29000,1.799980784,2.451637232,1.330067785,1.811599174,1.141898488,1.555305964,,,,,,,,,,,,,,,,
Skin,2.01,2.01,2.01,9600,11680,1.91920398,1.91920398,2.372139303,2.372139303,2.807562189,2.807562189,,,,,,,,,,,,,,,,
Lacrimal,0.001,0.001,0.001,1,1,0.401833333,0.330273973,0.496666667,0.408219178,0.587833333,0.483150685,,,,,,,,,,,,,,,,
